quantidade_picanha,tempo_médio_de_boteco,n_de_amigos_com_nome_junior,índice_de_solvência_do_cooler,quantas_tias_fizeram_maionese,cor_do_terno_que_vai_sujar,vezes_que_cantou_evidências,nível_de_birita_dog,horario_chegada_carvao,temperatura_churrasqueiro,pt_no_churrasco
4.2472407130841745,0.6201806540232924,0,0.34224645879339466,1,estampado,1,6.321148916016095,17,33.96425250663838,1
7.704285838459497,6.376255578817776,1,0.4729722638071025,2,branco,0,28.723440571142884,17,36.285941598386785,1
6.391963650868431,6.487621459321279,0,0.41168127607923183,1,cinza,1,0.265898553404067,12,38.78076632703957,0
5.59195090518222,7.649158817978479,0,0.9102484966145412,3,cinza,1,29.934625670459347,15,38.15041003221313,1
2.9361118426546193,8.71309600467194,1,0.453449791150631,3,branco,1,20.304638965721868,14,38.00133144276242,1
2.9359671220172157,11.710224953550416,1,0.9831056790733919,1,cinza,1,24.854078983473514,12,37.09954737436192,1
2.3485016730091965,6.195604179614344,1,0.5358270542397747,3,branco,1,8.838581890385795,10,37.014126317256355,1
7.197056874649611,3.8754776752949516,2,0.4274825409820895,1,branco,1,0.42945833001179934,14,35.67935772105311,0
5.606690070459253,9.542234337224444,2,0.8527889549997354,3,branco,2,22.136085556845902,12,38.39765684040507,1
6.248435466776273,3.2499870151448906,2,0.7610954428506133,0,estampado,2,25.02433791002027,13,37.84194588877878,1
2.1235069657748147,5.267657048467633,0,0.6487370015171973,0,branco,0,22.214283958605574,14,37.9840376959856,1
7.819459112971966,0.9414765761071915,0,0.6887544856563419,0,estampado,0,4.285508619025158,14,35.94793031466484,0
6.99465584480253,0.3042089209854901,1,0.8034412447905845,2,branco,3,22.60283766770907,11,32.693314160257515,1
3.274034664069657,11.5517809761351,2,0.4599183189319091,2,branco,1,23.06768346322923,13,39.194305423507394,1
3.0909498032426037,10.03176144614647,1,0.9974337412397194,0,branco,0,19.756215470101647,10,36.042325087983194,1
3.100427059120603,8.351690473124375,1,0.9823552135027482,2,cinza,1,22.983477983867587,15,35.27444847191376,1
3.8254534577572263,4.907435332971239,3,0.7552279804428558,3,estampado,0,25.377643190331966,17,38.386957823827984,1
5.148538589793427,2.0795318408501493,2,0.43967971565040154,1,estampado,4,18.40812342712375,16,36.21597472016174,1
4.591670111852695,1.8772445120530326,1,0.7761597697019038,1,branco,1,2.658141419090372,12,39.119872768093245,0
3.7473748411882513,3.002914777975144,0,0.35053888628542307,1,branco,1,14.628834290016325,11,38.234011899153394,1
