consumo_de_rabanete,n_alunos_reclamando,n_videos_regressao,indice_irritacao_abnt,n_sonecas,cor_da_meia,dias_sem_cafe,qtd_livros_na_mesa,musicas_legiao_escutou,crescimento_cabelo_cm
8.274875016891512,4,2,5.992935663104787,3,cinza,3,19,0,1.6018240774314134
14.328761649722912,2,4,4.763382934943662,1,laranja_neon,1,18,11,2.4232748618845212
5.975975538150893,3,2,9.328462213602991,3,cinza,0,4,3,2.4206065720052443
20.399403172539884,3,0,0.7608472676550726,0,star_wars,3,22,3,3.7592479651683854
18.42330202778666,3,1,5.011197008253482,0,azul,0,4,4,2.43117569923697
36.03040649802929,2,5,6.869524413854383,1,laranja_neon,1,19,4,4.397490530952545
37.200215111642905,3,4,7.919065384222369,1,cinza,2,23,7,4.132090359025599
15.342695640291684,2,4,5.830186474441364,2,star_wars,1,3,10,3.6361844405436337
19.66951772075958,6,4,9.08917744121454,2,cinza,4,1,14,1.9215218973015384
35.849449965845324,4,3,9.419914468838718,1,azul,3,12,10,4.637558863547434
32.26831230980246,2,2,0.6431922319358352,1,laranja_neon,1,15,2,4.399122202841134
0.14625245378597107,1,1,4.023705395413744,0,star_wars,2,21,5,1.1344189513229135
12.802382567343301,4,1,0.23459021721154438,1,cinza,0,1,11,2.73893019871009
16.870969677445036,4,1,3.2941665737444294,2,star_wars,3,18,12,2.749674347498138
9.18865134732927,2,0,5.368682179706021,0,cinza,1,16,11,1.4996284118782255
7.98286463583755,6,1,9.107949305099488,3,cinza,2,4,2,0.7942817417174033
1.5113802638271867,3,4,8.465543224654029,2,azul,1,24,12,1.6270815806843444
25.73478900279042,0,0,1.2749972667198572,2,azul,4,17,1,5.028009529357924
10.500411619326627,3,1,0.930303747408957,0,cinza,3,22,7,2.5232117806052012
2.0938871372525236,1,3,5.892673387566671,3,laranja_neon,0,20,0,1.4904582903942327
9.239172421122547,2,1,5.321179724587827,2,star_wars,2,17,8,1.8177001675434798
32.07655811344506,3,2,2.6637764143002385,1,star_wars,1,7,10,5.095718191652351
34.059567265861865,2,1,8.994530845538351,2,azul,3,14,6,3.9369619584627538
19.322649807732105,3,2,9.273664094615535,0,laranja_neon,1,12,11,1.9333291078887769
16.642826816347448,3,3,4.026114383401627,0,cinza,3,12,9,2.6804397401066837
39.11414774007127,2,1,8.903025571135203,0,azul,4,15,12,4.243435697369388
8.022586383522796,5,5,3.8394889426297265,2,cinza,1,21,14,1.96252550309174
8.61437131418434,1,5,7.368168318297002,3,cinza,4,19,11,1.295185560963904
11.674687081455989,3,1,4.7594221754772414,1,azul,2,12,10,1.4378091049009618
6.9102927312434925,3,0,1.2258315650718299,0,laranja_neon,4,19,3,1.9279537442328696
15.174623928167463,3,1,9.279342012370215,3,star_wars,3,1,2,3.173597237280307
36.43336907959015,4,3,4.540965933775366,1,azul,2,2,5,3.9760410642415813
24.61391362514297,4,1,7.344870403224037,0,laranja_neon,1,14,8,3.3324979344832393
16.477861944490545,1,0,3.6717381443129216,1,cinza,1,22,14,2.6958126302424628
37.37643178284859,4,3,0.1888087857623466,1,azul,3,18,8,5.018529916748717
1.9385692990328929,2,2,1.005303586918359,3,star_wars,0,12,3,3.0404170601860843
8.411047116074455,1,0,4.9621947948992435,1,star_wars,0,4,9,2.1099025181434756
22.63554420407036,3,0,6.899643571263624,0,cinza,1,21,4,2.8647449115374597
24.622104927727165,4,1,3.3473532657927905,3,azul,3,5,10,3.9577078156941248
